Load_ID,Name,Gender,Married,Dependent,Education,Self_Employed,Application_No,Loan_Amount
LID1114,John,Male,Yes,0,Not Graduate,Yes,APP5114,261013.0
LID1115,Alice,Male,Yes,1,Graduate,No,APP5115,252761.0
LID1116,Bob,Male,Yes,3+,Not Graduate,Yes,APP5116,434353.0
LID1117,Bob,Male,Yes,,Graduate,No,APP5117,
LID1118,Michael,Male,No,1,Not Graduate,Yes,APP5118,157388.0
LID1119,Olivia,Female,Yes,1,Not Graduate,Yes,APP5119,280392.0
LID1120,Alice,Male,No,2,Not Graduate,Yes,APP5120,400833.0
LID1121,Michael,Male,No,1,Not Graduate,,APP5121,54235.0
LID1122,Michael,Female,Yes,1,Not Graduate,Yes,APP5122,426471.0
LID1123,Olivia,Male,Yes,0,Not Graduate,No,APP5123,242301.0
LID1124,Emma,Male,Yes,1,Graduate,No,APP5124,188910.0
LID1125,Daniel,Male,No,0,Not Graduate,No,APP5125,139920.0
LID1126,David,Female,No,,Not Graduate,,APP5126,137926.0
LID1127,Daniel,Male,No,2,Graduate,No,APP5127,12109.0
LID1128,John,Female,No,,Not Graduate,No,APP5128,162880.0
LID1129,Alice,Male,No,1,Not Graduate,Yes,APP5129,472335.0
LID1130,Daniel,Male,Yes,3+,Graduate,Yes,APP5130,353094.0
LID1131,David,Male,Yes,,Graduate,Yes,APP5131,477995.0
LID1132,Sophia,Female,Yes,2,Not Graduate,No,APP5132,258941.0
LID1133,Alice,Male,No,1,Not Graduate,Yes,APP5133,364548.0
LID1134,David,Female,Yes,1,Graduate,No,APP5134,340439.0
LID1135,Michael,Female,,0,Graduate,No,APP5135,
LID1136,Bob,Female,No,2,Not Graduate,,APP5136,453929.0
LID1137,Emma,Female,Yes,3+,Graduate,,APP5137,79256.0
LID1138,John,Male,Yes,1,Not Graduate,No,APP5138,21202.0
LID1139,David,Male,No,1,Not Graduate,Yes,APP5139,393503.0
LID1140,Daniel,Female,No,0,Not Graduate,Yes,APP5140,230821.0
LID1141,Bob,Female,Yes,2,Graduate,Yes,APP5141,395261.0
LID1142,Daniel,Female,No,,Not Graduate,No,APP5142,487684.0
LID1143,Alice,Female,Yes,3+,Not Graduate,Yes,APP5143,339880.0
LID1144,David,Male,Yes,0,Graduate,,APP5144,148615.0
LID1145,Daniel,Male,No,3+,Graduate,No,APP5145,360887.0
LID1146,Olivia,Male,No,3+,Not Graduate,No,APP5146,483355.0
LID1147,Emily,Female,Yes,3+,Graduate,Yes,APP5147,464324.0
LID1148,Bob,Male,No,,Not Graduate,No,APP5148,144098.0
LID1149,Sophia,Female,No,1,Not Graduate,No,APP5149,187895.0
LID1150,Bob,Female,,2,Graduate,No,APP5150,210010.0
LID1151,Daniel,Female,,1,Graduate,Yes,APP5151,149833.0
LID1152,Daniel,Male,No,,Graduate,No,APP5152,26548.0
LID1153,John,Male,Yes,2,Graduate,No,APP5153,372964.0
LID1154,Olivia,Female,No,,Not Graduate,Yes,APP5154,326056.0
LID1155,Sophia,Male,No,2,Not Graduate,No,APP5155,421983.0
LID1156,Emma,Female,No,0,Graduate,Yes,APP5156,420511.0
LID1157,John,Female,No,,Not Graduate,Yes,APP5157,156209.0
LID1158,Alice,Female,No,1,Not Graduate,Yes,APP5158,9369.0
LID1159,Sophia,Male,,2,Not Graduate,No,APP5159,364413.0
LID1160,David,Female,Yes,1,Not Graduate,Yes,APP5160,361999.0
LID1161,Emily,Male,No,2,Graduate,Yes,APP5161,156929.0
LID1162,John,Female,No,0,Graduate,,APP5162,353295.0
LID1163,Emily,Male,,2,Graduate,Yes,APP5163,260236.0
LID1164,Olivia,Female,No,3+,Not Graduate,,APP5164,424317.0
LID1165,Alice,Female,No,3+,Graduate,Yes,APP5165,242952.0
LID1166,Alice,Female,Yes,0,Graduate,Yes,APP5166,
LID1167,Emma,Male,Yes,1,Not Graduate,Yes,APP5167,315940.0
LID1168,Alice,Female,,2,Graduate,Yes,APP5168,261044.0
LID1169,Daniel,,No,3+,Graduate,No,APP5169,230613.0
LID1170,Bob,Female,Yes,1,Not Graduate,Yes,APP5170,442313.0
LID1171,Bob,Female,No,0,Not Graduate,Yes,APP5171,
LID1172,Emma,,No,0,Not Graduate,No,APP5172,188615.0
LID1173,Daniel,Female,No,2,Not Graduate,No,APP5173,416704.0
LID1174,Bob,Male,Yes,2,Not Graduate,Yes,APP5174,353822.0
LID1175,David,Male,Yes,2,Not Graduate,No,APP5175,298994.0
LID1176,Daniel,Female,Yes,3+,Not Graduate,,APP5176,50090.0
LID1177,Olivia,Female,Yes,3+,Graduate,No,APP5177,79786.0
LID1178,Michael,Female,No,1,Graduate,No,APP5178,108141.0
LID1179,Emily,Male,Yes,1,Graduate,No,APP5179,486432.0
LID1180,Daniel,Male,Yes,1,Graduate,No,APP5180,119744.0
LID1181,Emily,Male,No,,Not Graduate,,APP5181,
LID1182,David,Female,,,Graduate,Yes,APP5182,135405.0
LID1183,Michael,Female,Yes,0,Not Graduate,No,APP5183,338994.0
LID1184,Sophia,Female,Yes,1,Graduate,Yes,APP5184,214250.0
LID1185,Emma,Male,No,3+,Graduate,Yes,APP5185,56452.0
LID1186,Daniel,Male,Yes,2,Not Graduate,No,APP5186,487446.0
LID1187,Emma,Male,,1,Graduate,No,APP5187,167915.0
LID1188,Alice,Female,No,,Graduate,No,APP5188,233493.0
LID1189,Emily,Female,No,2,Graduate,,APP5189,174072.0
LID1190,Emily,,Yes,0,Not Graduate,No,APP5190,77968.0
LID1191,Alice,Male,No,2,Not Graduate,Yes,APP5191,109598.0
LID1192,Sophia,,Yes,0,Not Graduate,,APP5192,223267.0
LID1193,John,Male,Yes,2,Not Graduate,No,APP5193,162843.0
LID1194,Olivia,Female,Yes,0,Not Graduate,No,APP5194,160888.0
LID1195,Daniel,Male,No,1,Not Graduate,No,APP5195,334420.0
LID1196,Emily,,No,2,Not Graduate,No,APP5196,101139.0
LID1197,Olivia,Male,No,3+,Not Graduate,Yes,APP5197,464235.0
LID1198,Emily,Male,No,0,Graduate,Yes,APP5198,55353.0
LID1199,John,Female,,3+,Graduate,Yes,APP5199,236683.0
LID1200,Alice,Male,Yes,3+,Graduate,Yes,APP5200,269144.0
LID1201,John,Female,No,2,Graduate,No,APP5201,378606.0
LID1202,Emily,Female,,3+,Graduate,No,APP5202,190699.0
LID1203,Alice,Female,No,0,Graduate,No,APP5203,225466.0
LID1204,John,Female,Yes,2,Graduate,No,APP5204,246845.0
LID1205,Sophia,Female,No,2,Graduate,No,APP5205,
LID1206,Alice,,Yes,0,Graduate,Yes,APP5206,407008.0
LID1207,Daniel,Female,No,2,Graduate,Yes,APP5207,401286.0
LID1208,Emily,Female,No,2,Not Graduate,No,APP5208,480449.0
LID1209,David,Male,Yes,,Graduate,Yes,APP5209,132216.0
LID1210,Emma,Female,Yes,0,Graduate,Yes,APP5210,200617.0
LID1211,Emily,Female,No,3+,Not Graduate,No,APP5211,289829.0
LID1212,Daniel,Female,No,1,Graduate,Yes,APP5212,465222.0
LID1213,Bob,Male,No,3+,Graduate,Yes,APP5213,401013.0
LID1214,Olivia,Male,Yes,0,Not Graduate,,APP5214,71026.0
LID1215,Olivia,Male,Yes,2,Not Graduate,No,APP5215,8121.0
LID1216,Emma,Female,No,2,Graduate,Yes,APP5216,405029.0
LID1217,Emily,Male,No,2,Not Graduate,Yes,APP5217,246288.0
LID1218,Emma,Male,Yes,3+,Not Graduate,Yes,APP5218,49385.0
LID1219,Michael,Male,,2,Graduate,No,APP5219,440103.0
LID1220,Emily,Male,No,2,Graduate,No,APP5220,61124.0
LID1221,Alice,Female,Yes,2,Graduate,No,APP5221,56065.0
LID1222,Alice,Female,Yes,2,Graduate,Yes,APP5222,301455.0
LID1223,Michael,Female,Yes,1,Not Graduate,No,APP5223,178700.0
LID1224,Sophia,Female,,3+,Not Graduate,No,APP5224,68670.0
LID1225,Michael,Male,,3+,Not Graduate,No,APP5225,358586.0
LID1226,Michael,Female,Yes,1,Graduate,Yes,APP5226,380889.0
LID1227,Emma,Male,No,3+,Not Graduate,No,APP5227,112512.0
LID1228,John,Male,Yes,2,Graduate,,APP5228,299675.0
LID1229,Alice,Female,Yes,1,Graduate,,APP5229,264682.0
LID1230,John,,No,0,Not Graduate,No,APP5230,474265.0
LID1231,Michael,Female,No,1,Not Graduate,No,APP5231,451827.0
LID1232,Sophia,Male,No,0,Graduate,No,APP5232,334378.0
LID1233,Alice,Female,No,0,Not Graduate,Yes,APP5233,496012.0
LID1234,Emily,Male,Yes,,Graduate,Yes,APP5234,
LID1235,Emily,Male,No,0,Graduate,Yes,APP5235,365592.0
LID1236,Emily,Female,,0,Not Graduate,Yes,APP5236,40201.0
LID1237,Daniel,Male,Yes,2,Not Graduate,Yes,APP5237,
LID1238,Emma,Female,Yes,,Not Graduate,Yes,APP5238,68456.0
LID1239,Bob,Male,No,1,Not Graduate,No,APP5239,134607.0
LID1240,Michael,Male,Yes,1,Graduate,Yes,APP5240,253377.0
LID1241,Bob,,Yes,2,Not Graduate,Yes,APP5241,
LID1242,David,Female,Yes,0,Not Graduate,,APP5242,209846.0
LID1243,Emma,Male,Yes,1,Not Graduate,,APP5243,68864.0
LID1244,Emily,Female,No,0,Not Graduate,Yes,APP5244,258608.0
LID1245,Alice,Female,No,0,Graduate,Yes,APP5245,435058.0
LID1246,Emma,Male,No,2,Graduate,Yes,APP5246,449453.0
LID1247,Daniel,Female,No,2,Graduate,,APP5247,435800.0
LID1248,Alice,Male,No,2,Not Graduate,Yes,APP5248,235230.0
LID1249,John,Female,No,1,Not Graduate,Yes,APP5249,328568.0
LID1250,Daniel,Male,Yes,,Graduate,,APP5250,81675.0
LID1251,John,Male,No,2,Not Graduate,Yes,APP5251,101892.0
LID1252,Alice,Female,No,0,Not Graduate,No,APP5252,395384.0
LID1253,Emily,Female,Yes,3+,Not Graduate,No,APP5253,94535.0
LID1254,Bob,Male,No,0,Graduate,No,APP5254,371806.0
LID1255,Michael,Female,No,0,Not Graduate,No,APP5255,254644.0
LID1256,Emma,Female,No,,Not Graduate,Yes,APP5256,156754.0
LID1257,Emma,Male,No,3+,Not Graduate,No,APP5257,313681.0
LID1258,Emily,Female,Yes,2,Not Graduate,Yes,APP5258,355066.0
LID1259,Michael,Male,No,1,Graduate,No,APP5259,207281.0
LID1260,John,Male,Yes,0,Graduate,Yes,APP5260,61274.0
LID1261,Bob,Female,No,3+,Not Graduate,No,APP5261,431504.0
LID1262,Michael,Female,No,0,Graduate,Yes,APP5262,19664.0
LID1263,John,Male,No,3+,Not Graduate,,APP5263,67980.0
LID1264,Michael,Female,Yes,,Not Graduate,No,APP5264,10777.0
LID1265,David,Male,Yes,3+,Not Graduate,Yes,APP5265,22869.0
LID1266,Emma,Male,Yes,1,Graduate,No,APP5266,473305.0
LID1267,David,Male,No,2,Graduate,Yes,APP5267,238035.0
LID1268,Michael,Male,No,3+,Not Graduate,,APP5268,
LID1269,Daniel,Male,Yes,2,Not Graduate,No,APP5269,78035.0
LID1270,Emma,Male,Yes,2,Graduate,,APP5270,384094.0
LID1271,Bob,Male,No,0,Not Graduate,Yes,APP5271,9781.0
LID1272,Emily,Female,No,,Not Graduate,No,APP5272,192562.0
LID1273,David,Female,Yes,3+,Not Graduate,Yes,APP5273,456423.0
LID1274,Emily,Male,No,1,Not Graduate,No,APP5274,187889.0
LID1275,John,Female,Yes,2,Not Graduate,Yes,APP5275,280280.0
LID1276,Olivia,Male,No,1,Graduate,No,APP5276,37907.0
LID1277,Daniel,Female,No,3+,Graduate,Yes,APP5277,84378.0
LID1278,John,Female,No,0,Not Graduate,No,APP5278,382072.0
LID1279,Sophia,Female,Yes,0,Graduate,Yes,APP5279,245900.0
LID1280,John,Male,Yes,3+,Not Graduate,Yes,APP5280,417455.0
LID1281,John,Male,Yes,3+,Graduate,Yes,APP5281,416545.0
LID1282,Olivia,Male,No,1,Graduate,No,APP5282,163822.0
LID1283,Emma,Female,No,3+,Graduate,No,APP5283,40761.0
LID1284,Daniel,Male,,2,Graduate,No,APP5284,343236.0
LID1285,Daniel,Male,Yes,3+,Not Graduate,Yes,APP5285,252334.0
LID1286,Bob,Male,No,3+,Graduate,Yes,APP5286,99568.0
LID1287,John,Male,No,2,Not Graduate,Yes,APP5287,491231.0
LID1288,Daniel,Male,Yes,1,Not Graduate,Yes,APP5288,350456.0
LID1289,Alice,Male,No,0,Not Graduate,No,APP5289,72854.0
LID1290,Bob,Female,Yes,3+,Graduate,No,APP5290,313728.0
LID1291,Alice,Female,Yes,3+,Graduate,No,APP5291,187502.0
LID1292,Olivia,Female,,0,Graduate,Yes,APP5292,440099.0
LID1293,Alice,Male,Yes,1,Graduate,No,APP5293,28555.0
LID1294,Emily,Male,Yes,3+,Not Graduate,,APP5294,
LID1295,Michael,Male,Yes,,Not Graduate,Yes,APP5295,126479.0
LID1296,Alice,Female,No,3+,Not Graduate,Yes,APP5296,60690.0
LID1297,Olivia,Male,No,0,Graduate,No,APP5297,361160.0
LID1298,Emily,,No,,Graduate,No,APP5298,403411.0
LID1299,Olivia,Female,Yes,0,Graduate,No,APP5299,409615.0
LID1300,Olivia,Male,No,1,Graduate,Yes,APP5300,389118.0
LID1301,John,Female,No,2,Not Graduate,No,APP5301,60276.0
LID1302,Olivia,Male,Yes,3+,Not Graduate,,APP5302,96225.0
LID1303,Alice,Male,,2,Graduate,,APP5303,206370.0
LID1304,Michael,Male,,2,Graduate,Yes,APP5304,225230.0
LID1305,Olivia,Female,Yes,3+,Graduate,Yes,APP5305,37467.0
LID1306,Olivia,Female,No,2,Graduate,Yes,APP5306,65017.0
LID1307,Daniel,Male,Yes,0,Not Graduate,No,APP5307,
LID1308,Sophia,,No,3+,Not Graduate,Yes,APP5308,236488.0
LID1309,David,Female,Yes,2,Not Graduate,Yes,APP5309,322998.0
LID1310,Emily,Female,No,,Not Graduate,No,APP5310,20445.0
LID1311,Sophia,Male,No,0,Graduate,No,APP5311,173379.0
LID1312,Emily,Male,Yes,,Not Graduate,Yes,APP5312,240672.0
LID1313,David,Female,No,2,Graduate,Yes,APP5313,339178.0
LID1314,Michael,Female,Yes,2,Graduate,Yes,APP5314,109718.0
LID1315,Bob,Female,No,1,Graduate,No,APP5315,262479.0
LID1316,David,Male,,3+,Not Graduate,No,APP5316,154993.0
LID1317,Emma,Female,Yes,3+,Not Graduate,No,APP5317,394102.0
LID1318,Sophia,Male,Yes,3+,Graduate,Yes,APP5318,431685.0
LID1319,Alice,Female,Yes,1,Graduate,Yes,APP5319,419189.0
LID1320,John,,Yes,1,Graduate,Yes,APP5320,310192.0
LID1321,Emma,Female,No,2,Graduate,No,APP5321,
LID1322,Olivia,Male,Yes,1,Graduate,Yes,APP5322,55439.0
LID1323,Olivia,Male,Yes,1,Graduate,No,APP5323,429677.0
LID1324,Alice,Male,Yes,0,Graduate,Yes,APP5324,7745.0
LID1325,Alice,Female,,1,Graduate,No,APP5325,218923.0
LID1326,Daniel,Female,No,3+,Not Graduate,,APP5326,458242.0
LID1327,Emily,Male,No,1,Graduate,Yes,APP5327,102152.0
LID1328,Daniel,Female,Yes,,Not Graduate,Yes,APP5328,482620.0
LID1329,David,Female,Yes,3+,Not Graduate,Yes,APP5329,281905.0
LID1330,Bob,Male,Yes,3+,Not Graduate,Yes,APP5330,441418.0
LID1331,Sophia,Female,No,3+,Graduate,Yes,APP5331,438888.0
LID1332,Alice,,Yes,3+,Graduate,No,APP5332,189604.0
LID1333,Emily,Male,Yes,1,Not Graduate,Yes,APP5333,476731.0
LID1334,Sophia,Female,Yes,0,Not Graduate,No,APP5334,77285.0
LID1335,David,Female,Yes,1,Graduate,No,APP5335,235098.0
LID1336,Bob,Female,Yes,2,Graduate,No,APP5336,202194.0
LID1337,Emma,Male,Yes,2,Graduate,No,APP5337,303399.0
LID1338,Daniel,Male,No,,Not Graduate,Yes,APP5338,415196.0
LID1339,David,Female,Yes,,Not Graduate,No,APP5339,57907.0
LID1340,Olivia,Female,Yes,2,Graduate,,APP5340,125886.0
LID1341,Daniel,Female,No,3+,Graduate,Yes,APP5341,288397.0
LID1342,John,Female,Yes,0,Not Graduate,No,APP5342,122451.0
LID1343,Daniel,Male,,2,Not Graduate,Yes,APP5343,156989.0
LID1344,David,Female,,0,Not Graduate,No,APP5344,136796.0
LID1345,Alice,Female,No,0,Graduate,No,APP5345,192645.0
LID1346,Bob,Female,Yes,0,Graduate,Yes,APP5346,461903.0
LID1347,David,Male,Yes,2,Not Graduate,Yes,APP5347,156031.0
LID1348,Alice,Female,Yes,2,Not Graduate,Yes,APP5348,306652.0
LID1349,Alice,Female,Yes,0,Not Graduate,Yes,APP5349,276455.0
LID1350,Daniel,Female,No,3+,Not Graduate,Yes,APP5350,267168.0
LID1351,Bob,Female,Yes,2,Graduate,No,APP5351,329348.0
LID1352,David,Female,,2,Graduate,Yes,APP5352,370700.0
LID1353,David,Male,Yes,0,Not Graduate,Yes,APP5353,310540.0
LID1354,Olivia,Female,No,2,Graduate,No,APP5354,485977.0
LID1355,Emily,Female,No,2,Graduate,Yes,APP5355,347481.0
LID1356,Sophia,Male,Yes,,Not Graduate,No,APP5356,
LID1357,Emily,Female,,1,Not Graduate,Yes,APP5357,141776.0
LID1358,David,Male,Yes,2,Not Graduate,No,APP5358,470582.0
LID1359,Daniel,Male,,0,Not Graduate,Yes,APP5359,78027.0
LID1360,Emma,Female,Yes,0,Not Graduate,No,APP5360,433218.0
LID1361,David,,No,0,Graduate,Yes,APP5361,489533.0
LID1362,John,Female,No,2,Not Graduate,No,APP5362,483318.0
LID1363,Alice,Male,Yes,2,Graduate,Yes,APP5363,128531.0
LID1364,Michael,Female,No,2,Graduate,No,APP5364,427398.0
LID1365,David,Female,No,,Graduate,No,APP5365,479126.0
LID1366,John,Male,No,1,Graduate,Yes,APP5366,442782.0
LID1367,John,Female,No,1,Not Graduate,Yes,APP5367,23539.0
LID1368,Sophia,Female,No,2,Not Graduate,Yes,APP5368,42100.0
LID1369,Bob,Male,Yes,2,Not Graduate,,APP5369,318601.0
LID1370,David,,Yes,1,Graduate,No,APP5370,492254.0
LID1371,Bob,Female,Yes,0,Not Graduate,Yes,APP5371,294105.0
LID1372,Emma,Male,No,0,Graduate,Yes,APP5372,72876.0
LID1373,Daniel,Female,No,1,Not Graduate,No,APP5373,26884.0
LID1374,Michael,Male,No,3+,Graduate,Yes,APP5374,265359.0
LID1375,Daniel,Female,Yes,1,Graduate,,APP5375,345963.0
LID1376,John,Female,Yes,1,Graduate,,APP5376,255396.0
LID1377,Alice,Male,No,2,Not Graduate,Yes,APP5377,450557.0
LID1378,Alice,Female,No,,Not Graduate,Yes,APP5378,124409.0
LID1379,Bob,Female,Yes,0,Not Graduate,No,APP5379,
LID1380,Daniel,Female,No,,Not Graduate,,APP5380,410596.0
LID1381,John,Male,,3+,Not Graduate,Yes,APP5381,107851.0
LID1382,Sophia,Female,Yes,1,Not Graduate,Yes,APP5382,456042.0
LID1383,Olivia,Male,No,3+,Graduate,Yes,APP5383,363400.0
LID1384,Daniel,Male,Yes,1,Not Graduate,Yes,APP5384,294667.0
LID1385,Bob,Male,Yes,3+,Graduate,,APP5385,207964.0
LID1386,Michael,Male,No,,Not Graduate,No,APP5386,369611.0
LID1387,Bob,Male,Yes,3+,Not Graduate,Yes,APP5387,372702.0
LID1388,John,Male,,2,Graduate,Yes,APP5388,77231.0
LID1389,David,Female,No,0,Not Graduate,,APP5389,66862.0
LID1390,Sophia,Male,Yes,,Not Graduate,Yes,APP5390,478721.0
LID1391,John,Male,,2,Not Graduate,,APP5391,106526.0
LID1392,Sophia,Female,Yes,3+,Graduate,No,APP5392,486332.0
